22nya	dua-duanya
7an	tujuan
abal"	abal-abal
abal2	abal-abal
abg	abang
abgnya	abangnya
acra	acara
ad	ada
ada2	ada-ada
adek2	adek-adek
adkah	adakah
adl	adalah
adlah	adalah
adlh	adalah
afaik	as far as i know
agk	agak
agma	agama
aj	saja
aja	saja
aje	saja
ak	saya
aka	alias
akn	akan
alm	almarhum
almh	almarhumah
am	sama
ama	sama
ambl	ambil
ampe	sampai
anak"	anak-anak
anak2	anak-anak
anakny	anaknya
aneh2	aneh-aneh
ap	apa
ap2	apa-apa
apa"	apa-apa
apa2	apa-apa
apa2nya	apa-apanya
apalg	apalagi
apalgi	apalagi
aplot	unggah
aq	aku
asap	sesegera mungkin
ati"	hati-hati
ati2	hati-hati
ato	atau
ats	atas
atu	satu
atuh	kalau begitu
atw	atau
ava	avatar
b2	berdua
b2an	berduaan
b3	bertiga
b4	sebelum
baek	baik
bangt	banget
baper	bawa perasaan
bat	banget
bbrp	beberapa
bbrpa	beberapa
bc	baca
bca	baca
bcanda	bercanda
bcnda	bercanda
bcoz	karena
bdampingan	berdampingan
bdg	bandung
bdn	badan
bebrp	beberapa
beda2	beda-beda
belom	belum
berkluarga	berkeluarga
bermaksut	bermaksud
bet	banget
bete	bosan
beud	banget
beut	banget
bg	abang
bget	banget
bgi	bagi
bgini	begini
bgitu	begitu
bgmana	bagaimana
bgmn	bagaimana
bgmna	bagaimana
bgni	begini
bgs	bagus
bgt	banget
bgtu	begitu
bgun	bangun
bgus	bagus
bhagia	bahagia
bhas	bahas
bhgia	bahagia
bhkn	bahkan
bhn	bahan
bhnya	bahannya
bhs	bahasa
bhw	bahwa
bhwa	bahwa
bju	baju
bka	buka
bkal	bakal
bkan	bukan
bkin	bikin
bkl	akan
bkln	bakalan
bkn	bukan
bknnya	bukannya
bl	beli
blajar	belajar
blakon	berlakon
blegug	bodoh
bleh	boleh
blg	bilang
blh	boleh
bli	beli
bli2n	beli-belikan
blik	balik
blim	belum
bljr	belajar
blkang	belakang
blkng	belakang
bln	bulan
blm	belum
blng	bilang
blnja	belanja
blom	belum
bls	balas
blum	belum
bnci	benci
bnda	bunda
bner	benar
bnern	benaran
bnget	banget
bngkit	bangkit
bngt	banget
bngun	bangun
bngung	bingung
bngunlah	bangunlah
bnr	benar
bnr2	benar-benar
bnran	benaran
bnrn	benaran
bntar	bentar
bntr	bentar
bntu	bantu
bnyak	banyak
bnyk	banyak
bolang	bocah petualang
bole	boleh
boljug	boleh juga
boong	bohong
bo'ong	bohong
bpk	bapak
bpkmu	bapakmu
bpknya	bapaknya
br	baru
brani	berani
branjak	beranjak
brantem	berantem
brapa	berapa
brarti	berarti
brasa	berasa
brb	segera kembali
brbakti	berbakti
brbuat	berbuat
brdiri	berdiri
brdua	berdua
bres	beres
brg	bareng
brg"	bareng-bareng
brhasil	berhasil
brhjb	berhijab
brisi	berisi
brita	berita
britanya	beritanya
brjdh	berjodoh
brjodoh	berjodoh
brkunjung	berkunjung
brngkt	berangkat
brp	berapa
brpa	berapa
brpndapat	berpendapat
brrt	berarti
brrti	berarti
brsama	bersama
brsma	bersama
brsyukur	bersyukur
brtngkar	bertengkar
bru	baru
brubah	berubah
brusaha	berusaha
bs	bisa
bsa	bisa
bsen	bosan
bsk	besok
bsok	besok
bt	buat
btuh	butuh
btul	betul
btulan	betulan
btw	ngomong-ngomong
bukn	bukan
bund	bunda
bw	bawa
bwa	bawa
bwhn	bawahan
bwt	buat
byak	banyak
byangin	membayangkan
byar	bayar
byaran	bayaran
byk	banyak
byr	bayar
byrin	bayarkan
bz	bisa
c	sih
cape	capek
caper	cari perhatian
cb	coba
cba	coba
ccok	cocok
ce	cewek
cew	cewek
cewe	cewek
ckp	cukup
ckup	cukup
cm	cuma
cma	cuma
cman	cuman
cmn	cuman
cmpr	campur
cmpur	campur
cntik	cantik
cntikan	cantikan
cntiknya	cantiknya
cntk	cantik
co	cowok
cogan	cowok ganteng
cow	cowok
cowo	cowok
coz	karena
cpe	capek
cpet	cepat
cpt	cepat
cr	cara
cri	cari
critamu	ceritamu
cupu	culun
cw	cewek
cwe	cewek
cwek	cewek
cwnya	ceweknya
cwo	cowok
cwok	cowok
cz	karena
d	di
dblkang	dibelakang
dblkng	dibelakang
dbnding	dibanding
dbuat	dibuat
dbwh	dibawah
dcintai	dicintai
ddlm	di dalam
ddpat	didapat
ddpt	didapat
de	deh
debay	adek bayi
dech	deh
dg	dengan
dgn	dengan
dgr	dengar
dh	dah
dibls	dibalas
dihpus	dihapus
dijwb	dijawab
dimna	dimana
dinamakn	dinamakan
dirmh	dirumah
dirumahny	dirumahnya
disni	disini
dket	dekat
dket2in	dekat-dekati
dkit	sedikit
dkk	dan kawan-kawan
dl	dulu
dlam	dalam
dll	dan lain-lain
dlm	dalam
dlu	dulu
dluar	diluar
dmana	dimana
dmn	dimana
dmna	dimana
dn	dan
dng	dengan
dngan	dengan
dngerin	mendengarkan
dngn	dengan
dpke	dipakai
dpn	depan
dposisi	diposisi
dpotong	dipotong
dpt	dapat
dptkan	dapatkan
dptnya	dapatnya
dr	dari
dri	dari
drimana	darimana
dripada	daripada
dripda	daripada
drmana	darimana
drmn	darimana
drpada	daripada
drpd	daripada
drtd	dari tadi
dsana	disana
dsar	dasar
dsb	dan sebagainya
dsini	disini
dsna	disana
dsni	disini
dsr	dasar
dsrny	dasarnya
dssi	disisi
dst	dan seterusnya
dstu	disitu
dteng	datang
dtg	datang
